,temperature,humidity,cloudy,windspeed,latitude,cities
0,83.87,71,88,5.19,-30.17,Cidreira
1,79.42,100,48,15.26,-23.12,Rikitea
2,29.92,100,88,14.92,50.68,Severo-Kurilsk
3,80.45,88,92,16.26,15.8,Barra Patuca
4,19.4,92,90,4.47,59.7,Nikolskoye
5,59.99,47,40,18.34,-54.81,Ushuaia
6,-20.21,75,20,16.11,69.44,Tuktoyaktuk
7,48.24,58,75,14.99,39.45,Saint George
8,58.9,88,0,2.17,15.34,Vaini
9,69.74,25,0,8.43,10.3,Birao
10,81.4,100,76,5.41,-0.6,Hithadhoo
11,11.47,95,92,34.38,65.58,Lavrentiya
12,58.72,83,92,4.18,-34.42,Hermanus
13,77.0,68,1,3.36,22.08,Kapaa
14,81.44,100,8,14.03,-3.28,Trairi
15,35.91,80,0,6.93,37.23,Termez
16,35.96,85,90,13.87,60.79,Bethel
17,78.08,66,1,9.17,19.71,Hilo
18,32.95,100,20,3.36,35.73,Hasaki
19,24.8,73,80,22.37,45.82,Iki-Burul
20,87.92,15,0,10.33,-43.3,Rawson
21,24.98,79,90,10.29,36.19,Springdale
22,77.0,69,20,3.36,-22.23,Mont-Dore
23,25.28,71,36,2.06,36.41,Dawlatabad
24,20.41,92,90,9.17,45.36,Saint-Philippe
25,84.2,66,75,12.75,4.94,Cayenne
26,77.0,94,75,1.12,1.56,Kuching
27,50.31,56,90,9.89,39.31,Port Elizabeth
28,73.48,86,20,15.48,-33.69,Chuy
29,66.2,55,76,5.82,-34.53,Bredasdorp
30,80.9,100,20,10.56,3.07,Butaritari
31,-14.64,61,56,2.62,54.43,Tupik
32,74.02,65,0,7.65,-33.21,Jamestown
33,71.35,83,8,9.17,-30.3,Coffs Harbour
34,-2.4,72,76,3.96,64.9,Leshukonskoye
35,59.0,77,48,11.41,-37.83,Mount Gambier
36,82.4,83,75,23.04,-21.21,Avarua
37,65.38,28,0,11.68,15.46,Abalak
38,64.4,59,20,18.34,-33.93,Cape Town
39,-20.98,100,0,7.87,77.48,Qaanaaq
40,86.0,55,0,23.04,-21.64,Sao Joao da Barra
41,66.2,52,0,9.17,-42.48,Castro
42,53.6,71,20,6.93,-42.88,Hobart
43,24.8,92,20,4.7,61.34,Hakkari
44,24.8,73,90,12.75,52.25,Mosina
45,66.11,34,0,16.11,-53.16,Punta Arenas
46,66.28,100,24,13.35,24.34,Ishigaki
47,50.17,85,92,14.36,-46.19,Mataura
48,46.57,87,0,0.6,9.56,Hargeysa
49,70.64,95,92,2.51,-8.93,Airai
50,63.53,100,64,21.97,-33.64,Busselton
51,77.39,46,0,12.91,-38.31,Barrow
52,78.8,41,0,9.66,-20.73,Mount Isa
53,76.9,100,92,3.4,6.37,Pundaguitan
54,79.15,82,64,7.09,-8.83,Luanda
55,97.87,48,24,4.63,-25.18,Carayao
56,75.82,32,0,8.43,-19.66,Nokaneng
57,78.52,100,32,16.71,-9.8,Atuona
58,70.42,100,12,18.95,-33.02,East London
59,0.49,53,32,3.62,39.23,Shitanjing
60,63.4,92,0,25.88,-28.55,Oranjemund
61,84.2,70,40,9.17,6.8,Georgetown
62,-34.8,64,44,3.29,71.97,Saskylakh
63,-0.41,44,40,3.36,69.22,Ilulissat
64,33.44,80,8,14.99,51.82,Goedereede
65,-5.01,97,68,10.33,69.7,Pevek
66,-1.95,59,36,2.39,40.29,Yumen
67,88.21,61,0,18.34,-22.97,Arraial do Cabo
68,26.6,73,90,18.34,65.61,Tasiilaq
69,48.55,87,100,11.68,41.42,Saldanha
70,78.7,92,92,5.86,-6.13,Soyo
71,69.07,88,100,4.07,13.06,Lahij
72,62.32,88,0,7.87,16.94,That Phanom
73,43.79,70,0,10.29,44.83,Saint-Augustin
74,31.32,97,0,5.82,52.47,Broome
75,46.7,32,0,6.76,20.2,Tessalit
76,72.76,77,0,3.18,-26.2,Gympie
77,74.33,62,12,3.4,5.02,Zemio
78,44.53,92,90,5.82,39.94,Zanesville
79,2.11,97,48,9.44,72.79,Upernavik
80,76.86,60,20,4.74,20.89,Kahului
81,82.4,65,75,11.01,-33.52,Trinidad
82,86.0,62,40,11.41,15.0,Iralaya
83,78.8,88,75,11.41,-23.87,Inhambane
84,61.88,41,1,5.82,34.64,Lompoc
85,68.12,94,44,14.03,-33.59,Port Alfred
86,66.23,90,56,2.28,-6.82,Karema
87,71.77,84,0,5.19,-23.58,Bluff
88,-18.01,79,44,3.18,68.75,Cherskiy
89,33.8,100,75,3.36,43.52,Mana
90,39.14,87,80,2.39,27.21,Hongjiang
91,81.35,56,44,3.18,7.99,Daru
92,53.6,71,20,6.93,-42.78,New Norfolk
93,77.93,97,64,10.89,-21.55,Tadine
94,70.96,100,8,13.58,26.56,Bandar-e Lengeh
95,30.82,84,0,12.24,45.43,Kropotkin
96,26.27,100,80,14.81,60.14,Nanortalik
97,11.2,93,32,12.24,47.24,Yenotayevka
98,-14.27,75,20,9.17,68.22,Aklavik
99,41.0,80,0,5.82,43.64,Krivodol
100,79.64,74,0,2.51,-20.74,Karratha
101,5.0,84,20,2.17,78.22,Longyearbyen
102,81.53,100,8,16.26,-4.97,Micheweni
103,-17.43,100,20,1.95,66.94,Sisimiut
104,86.53,70,88,8.66,-29.79,Taquari
105,46.88,87,0,2.84,29.19,Fort Abbas
106,75.55,18,0,13.02,-26.5,Bethanien
